search_topic,openlibrary_work_key,title,author_name,first_publish_year,publish_years,subjects,languages,edition_count,publishers,publication_places
artificial intelligence,/works/OL45151401W,Reshaping Journalism and Communications with AI,Bünyamin Ayhan; Zehra Özkeçeci,2026,2026,Journalism; Artificial intelligence,eng,1,IGI Global Scientific Publishing,
artificial intelligence,/works/OL45154175W,Subjectivity Ethics and Governance of Ideological and Political Education in the Age of Artificial Intelligence,Jiayi Yuan,2026,2026,Education,eng,1,United Culture Press Inc.,
artificial intelligence,/works/OL45154124W,Salesforce AI,Joyce Kay Avila,2026,2026,Customer relations; Machine learning; Artificial intelligence,eng,1,"O'Reilly Media, Incorporated",
artificial intelligence,/works/OL45154157W,Redefining Global Creative Sectors Through AI and Human Augmentation,Fazla Rabby; Sweta Thakur; Shafiqur Rahman; Nishita Pruthi; Mukesh Singla,2026,2026,Human-computer interaction; Artificial intelligence,eng,1,IGI Global Scientific Publishing,
artificial intelligence,/works/OL45154160W,Examining AI Innovations in Gaming and Entertainment,Jeff Saltz; Jasmina Tacheva; Shamik Tiwari; Anurag Jain,2026,2026,"Artificial intelligence; Computer games, design",eng,1,IGI Global Scientific Publishing,
artificial intelligence,/works/OL45154165W,Building AI-Driven Decision Making Competencies for Sustainability,Zahid Hussain; Arman Khan; Abdulrehim Awad; Bader Ismaeel; Ahed Al-Haraizah,2026,2026,Sustainable development; Artificial intelligence,eng,1,IGI Global Scientific Publishing,
artificial intelligence,/works/OL45150975W,Databricks Certified Generative AI Engineer Associate Study Guide,Rajaniesh Kaushikk,2026,2026,Cloud computing; Machine learning; Artificial intelligence,eng,1,"O'Reilly Media, Incorporated",
artificial intelligence,/works/OL45148410W,Embedded Artificial Intelligence and the Internet of Things for Photovoltaic Systems,Adel Mellit,2026,2026,,eng,1,Elsevier,
artificial intelligence,/works/OL45148224W,Smart Manufacturing 5. 0,Daniel Alejandro Rossit; Foivos Psarommatis,2026,2026,Industrial engineering; Operations research; Engineering; Artificial intelligence; Manufacturing processes,eng,1,Elsevier Science & Technology,
artificial intelligence,/works/OL45148495W,Korean Studies in the Artificial Intelligence Era : Volume 2,Seok Kang; Wookjae Heo; Woo Hyoung Lee; Jangwoon Lee; Young B Choi,2026,2026,"Computers, social aspects; Artificial intelligence",eng,1,CRC Press LLC,
artificial intelligence,/works/OL45148499W,Artificial Intelligence in Management,Alka Agnihotri; Anuja Pandey; Balamurugan Balusamy,2026,2026,Sustainable development; Human-computer interaction; Artificial intelligence,eng,1,CRC Press LLC,
artificial intelligence,/works/OL45148505W,Skin Cancer Detection Using Artificial Intelligence Techniques,Parikshit N. Mahalle; Nuzhat F Shaikh; Pritibala S. Ingle; Yashwant S. Ingle,2026,2026,"Skin, cancer; Machine learning; Machine theory; Image processing; Human-computer interaction; Diseases",eng,1,CRC Press LLC,
artificial intelligence,/works/OL45149231W,Handbook of Generative Artificial Intelligence in Accounting and Business Education,Tarek Rana; Mohammad Azim; Gillian Vesty; Kerry Russo,2026,2026,,eng,1,Springer,
artificial intelligence,/works/OL45149105W,Database Systems for Advanced Applications,Feida Zhu; Nadamoto Akiyo; Ee-Peng Lim; Kyuseok Shim; Wei Ding,2026,2026,Artificial intelligence; Computers; Computer networks; Computer architecture,eng,1,Springer,
artificial intelligence,/works/OL45148299W,Artificial Intelligence,George Luger,2026,2026,,eng,1,Springer,
artificial intelligence,/works/OL45148977W,Artificial Intelligence and Digital Entrepreneurship in Africa,Patient Rambe; Brighton Nyagadza,2026,2026,,eng,1,Palgrave Macmillan,
artificial intelligence,/works/OL45148990W,4th International Conference on Artificial Intelligence and Smart Data Science,Aboul Ella Hassanien; Abdelkrim Haqiq; M. A. Jabbar; Essaid Sabir; K. C. Santosh,2026,2026,,eng,1,Springer,
artificial intelligence,/works/OL45148555W,Advanced AI Technologies for Improving Education Systems,Amit Kumar Tyagi,2026,2026,Computer graphics; Artificial intelligence; Robotics; Machine learning,eng,1,CRC Press LLC,
artificial intelligence,/works/OL45148567W,Organizational Resilience and Artificial Intelligence,Arnab Mukherjee; Sachin Kumar,2026,2026,Strategic planning; Management; Risk (insurance),eng,1,Taylor & Francis Group,
artificial intelligence,/works/OL45148944W,AI-Driven Innovations in Physiotherapy and Oncology 3,Abhishek Kumar; Priya Batta; Sachin Ahuja; Pramod Singh Rathore,2026,2026,Biomedical engineering; Artificial intelligence,eng,1,"Wiley & Sons, Incorporated, John",
artificial intelligence,/works/OL45148542W,AI in Healthcare,Philip Eappen; Virginia Gunn; Dimitrios Zikos; Narasimha Rao Vajjhala,2026,2026,Health services administration; Artificial intelligence,eng,1,CRC Press LLC,
artificial intelligence,/works/OL45152766W,Reshaping e-Commerce Through AI Shopping Agents,Omar Almomani; Mohammad Alauthman; Ammar Almomani,2026,2026,Electronic commerce; Artificial intelligence,eng,3,IGI Global Scientific Publishing,
artificial intelligence,/works/OL45152770W,Trends and Applications of Conversational AI and Voice-Enabled Technologies,Yash Chawla; Shubham Mahajan; Akshat Agrawal,2026,2026,Artificial intelligence; Human-computer interaction; Computer sound processing,eng,1,IGI Global Scientific Publishing,
artificial intelligence,/works/OL45152773W,Impact of AI Agents in Public Health Evidence,Dahlia Khajeei; Muhammad Shahzad Aslam,2026,2026,Public health; Artificial intelligence; Human-computer interaction,eng,1,IGI Global Scientific Publishing,
artificial intelligence,/works/OL45152818W,Set Grundlagen der Informatik Band I + II,Manfred Sommer; Heinz-Peter Gumm,2026,2026,Computers; Artificial intelligence; Information technology,ger,1,"de Gruyter GmbH, Walter",
artificial intelligence,/works/OL45149687W,Generative AI in Higher Education Assessment,Mohamed Lahby; Satu Elisa Schaeffer; Yassine Maleh; Vasileios Paliktzoglou,2026,2026,"Education; Education, higher; Artificial intelligence; Computer-assisted instruction",eng,1,Springer,
artificial intelligence,/works/OL45148633W,Softwareentwicklung,Rüdiger Liskowsky; Uwe Aßmann,2026,2026,"Information technology; Computers; Artificial intelligence; Computer software, development",ger,1,"de Gruyter GmbH, Walter",
artificial intelligence,/works/OL45149723W,"Artificial Intelligence in Clinical, Diagnostic and Laboratory Medicine",Sultan Ayoub Meo,2026,2026,Life sciences; Biology,eng,1,Elsevier,
artificial intelligence,/works/OL45149790W,Augmenting Artificial-Human Intelligence (ICAAHI 2025),Ahmed J. Obaid; Zdzislaw Polkowski; Adriana Burlea-Schiopoiu; Muthmainnah Muthmainnah,2026,2026,,eng,1,Springer,
artificial intelligence,/works/OL45149762W,Psychology and Artificial Intelligence,Oliver Hoffmann,2026,2026,,eng,1,Springer Berlin / Heidelberg,
artificial intelligence,/works/OL45155929W,Moral Artificial Intelligence Projects,Gloria J. Miller,2026,2026,Business; Computers,eng,1,Maxmetrics LLC,
artificial intelligence,/works/OL45155083W,Artificial Intelligence in Our Time,Zevon de Tonssk,2026,2026,Technology; Philosophy,eng,2,"de Tonssk, Zevon",
artificial intelligence,/works/OL45148906W,Sentiment Analysis in NLP,Shanliang Yang,2026,2026,Artificial intelligence; Machine learning; Natural language processing (computer science),eng,1,"Wiley & Sons, Limited, John",
artificial intelligence,/works/OL45148919W,Microplastic Monitoring Using Artificial Intelligence,Pooja Dixit; Ashutosh Kumar Dubey; Abhishek Kumar; Pramod Singh Rathore; Arun Lal Srivastav,2026,2026,Microbiology,eng,1,"Wiley & Sons, Limited, John",
artificial intelligence,/works/OL45149498W,Artificial Intelligence Empowered Next-Generation Wireless Communication Networks,Indu Bala; Ghanshyam Singh,2026,2026,,eng,1,Springer,
artificial intelligence,/works/OL45149527W,"Legal, Ethical, and Technical Dilemmas in Military Artificial Intelligence",Bérénice Boutin; Taylor Kate Woodcock; Sadjad Soltanzadeh,2026,2026,,eng,1,T.M.C. Asser Press,
artificial intelligence,/works/OL45149543W,"Proceedings of the 2nd Electrical Artificial Intelligence Conference, Volume 3",Gang Mu; Zhengxiang Song; Zhiming Ding; Li Han,2026,2026,,eng,1,Springer,
artificial intelligence,/works/OL45149570W,"Artificial Intelligence, Academic Integrity, and the Internationalization of Higher Education",Aicha Adoui,2026,2026,,eng,1,Palgrave Macmillan,
artificial intelligence,/works/OL45153911W,AI Bots in Applied Linguistics,Alexia Larchen Costuchen; Fahad Ahmed Otaif,2026,2026,Linguistics; Artificial intelligence; Pragmatics,eng,2,IGI Global Scientific Publishing,
artificial intelligence,/works/OL45152762W,Romantic Relationships in the Age of AI,Ahadzadeh Ashraf Sadat; Kam-Fong Lee,2026,2026,Artificial intelligence; Interpersonal relations; Love,eng,3,IGI Global Scientific Publishing,
artificial intelligence,/works/OL45152759W,AI-Driven Research Innovations in Computing and Information Science,Patrick Ngulube,2026,2026,Computer science; Artificial intelligence,eng,2,IGI Global Scientific Publishing,
artificial intelligence,/works/OL45154028W,"Artificial Intelligence Essentials, Machine Learning Essentials & Data Analytics Essentials - Learn AI, ML, and Data Analytics with Hands-On Practice, Real-World Use Cases- Set of 3 Books",Vibrant Publishers,2026,2026,Business; Computer software,eng,1,Vibrant Publishers,
artificial intelligence,/works/OL45153844W,Decoding Health Futures Artificial Intelligence in Healthcare Analytics,Abdul Aziz,2026,2026,Education; Computer software,eng,1,Geh Press,
artificial intelligence,/works/OL45153914W,Predictive Analytics and Risk Intelligence in AI-Driven Cybersecurity,Elyson De La Cruz,2026,2026,"Computer networks, security measures; Artificial intelligence; Data mining",eng,1,IGI Global Scientific Publishing,
artificial intelligence,/works/OL45153923W,AI for Organizational Excellence and Inclusive Growth,Rafael Ignacio Pérez-Uribe; David Ocampo-Guzmán; Maria Teresa Ramírez-Garzón; Luz Janeth Lozano-Correa,2026,2026,Diversity in the workplace; Artificial intelligence,eng,1,IGI Global Scientific Publishing,
artificial intelligence,/works/OL45151992W,Artificial Intelligence,Emma Carlson-Berne; Daimon Hampton,2026,2026,"Computers, juvenile literature; Computers; Inventions, juvenile literature; Inventions",eng,1,Lerner Publishing Group,
artificial intelligence,/works/OL45152302W,Harnessing Generative Artificial Intelligence for Science Education,Michail Kalogiannakis; Dimitrios Sotiropoulos,2026,2026,Artificial intelligence; Computer-assisted instruction,eng,1,IGI Global Scientific Publishing,
artificial intelligence,/works/OL45152336W,Ethical Challenges of AI and Warfare,Pavan Thealla; Latif Oztosun; Vipin Nadda,2026,2026,Artificial intelligence; Military policy; National security,eng,1,IGI Global Scientific Publishing,
artificial intelligence,/works/OL45157928W,Artificial Intelligence - Leadership for Public Sector Organizations,Alan Shark,2026,2026,Technology; Political science,eng,1,SharkBytes.net,
artificial intelligence,/works/OL45155246W,"Equity, Equality, and Justice in AI-Enhanced Language Education",Francisco Javier Palacios-Hidalgo; Carlos Lindade,2026,2026,Computer-assisted instruction; Multicultural education; Artificial intelligence,eng,3,IGI Global Scientific Publishing,
artificial intelligence,/works/OL45157522W,Mendoza in Hollywood,Kage Baker,2026,2026,"Fiction, time travel; Fiction, science fiction, androids, robots & artificial intelligences; Fiction, fantasy, action & adventure",eng,1,Start Publishing LLC,
artificial intelligence,/works/OL45149428W,Navigating the AI Frontier in Business,Angappa Gunasekaran; Bhimaraya Metri; Pawan Kumar Singh,2026,2026,Business ethics; Management; Marketing; Economic development; Sustainable development; Artificial intelligence; Data mining; Sustainable architecture,eng,1,Taylor & Francis Group,
artificial intelligence,/works/OL45148679W,Recent Trends in Artificial Intelligence and Data Sciences,Sumit Kumar; Bhuvan Unhelkar,2026,2026,,eng,1,Springer,
artificial intelligence,/works/OL45148692W,Efficient Medical Artificial Intelligence,Tong Chen; Jinge Wu; Kun Yuan; Xiaohan Xing; Yuning Du,2026,2026,,eng,1,Springer,
artificial intelligence,/works/OL45149631W,Data As a Product Driver,Xavier Gumara Rigol,2026,2026,Artificial intelligence,eng,1,Apress L. P.,
artificial intelligence,/works/OL45149822W,PRICAI 2025 : Trends in Artificial Intelligence,Yi Mei; Chao Qian; Quan Bai; Bing Xue; Sankalp Khanna,2026,2026,,eng,1,Springer,
artificial intelligence,/works/OL45149836W,Transforming Social Economic Sustainability with Artificial Intelligence,Mohammad Tabrez Quasim; Joseph Bamidele Awotunde; Subhendu Kumar Pani; Mohammad Ayoub Khan; Mohammad Zunnun Khan,2026,2026,,eng,1,Springer,
artificial intelligence,/works/OL45153648W,Law of Digital Content,American Bar Association's Cyber and Technology Law Committee; Jon M. Garon,2026,2026,"Intellectual property; Artificial intelligence; Computers, law and legislation",eng,1,American Bar Association,
artificial intelligence,/works/OL45153536W,"Intelligent Learning Tools, Enhancing Student Skills, and Career Preparedness",Reda Mohamed Said Abdelaal; Mustafa Kayyali,2026,2026,Computer-assisted instruction; Artificial intelligence,eng,1,IGI Global Scientific Publishing,
artificial intelligence,/works/OL45069465W,Don't Replace Me,Dmitry Kargaev,2026,2026,artificial intelligence; career development; AI automation; job security; technology; self-help; workplace; future of work,,1,Independently Published,Los Angeles
artificial intelligence,/works/OL45091110W,Yapay Zekayı Kamulaştırmak,Özcan Yazıcı,2026,2026,Yapay Zeka; Sosyalizm; Dijital Kapitalizm; Kamulaştırma; Ekonomi Politik; Veri Egemenliği; Demokratik Sosyalizm; Teknoloji ve Siyaset; Özcan Yazıcı; Gemini; Gelecek Tahayyülü; Bilişim Etiği; Algoritmik Adalet; Kamu Yararı; Dijital Dönüşüm; Artificial Intelligence; Digital Socialism; Nationalizing AI; Data Sovereignty,tur,1,Özcan Yazıcı,
artificial intelligence,/works/OL45032581W,Handbook of Critical Studies of Artificial Intelligence and Education,Wayne Holmes,2026,2026,,eng,1,"Elgar Publishing Limited, Edward",
artificial intelligence,/works/OL45032525W,City of Bots,Justin B. Hollander; Maxwell Hartt; Ruth Potts,2026,2026,,eng,1,Policy Press,
artificial intelligence,/works/OL45038630W,The Useless,,2026,2026,dystopia; dystopian fiction; science fiction; philosophical fiction; artificial intelligence; AI governance; surveillance; post-work society; automation; universal basic income; memory manipulation; predictive systems; algorithmic control; human agency; social control; rebellion; future society; New Geneva,,1,Joosep Wyrd,New Geneva; EU Compact; Vienna
artificial intelligence,/works/OL45031090W,The Dissemination and Evolution of Excellent Traditional Chinese Culture (ETCC) in the Age of Artificial Intelligence (AI),You Chen,2026,2026,,,1,Scientific Open Access Publishing,
artificial intelligence,/works/OL45034065W,Machines That Think : Artificial Intelligence,Inga Strümke,2026,2026,Technology; Computer software,eng,1,Rheinwerk Publishing Inc.,
artificial intelligence,/works/OL45009384W,ARTIFICIAL INTELLIGENCE IN EDUCATION,"Dr Subir Sen, Kartik Maji, Dr Mrityunjoy Kaibarta, Dr Tanmoy Saha",2026,2026,,,1,Redshine Publication UK,
artificial intelligence,/works/OL45003965W,Machine Learning Systems,Vijay Janapa Reddi,2026,2026,,,1,Harvard University,
artificial intelligence,/works/OL45179635W,The future of Ai,,2026,2026,,,1,Deepchand,
artificial intelligence,/works/OL45269354W,MICRO SAAS FROM ZERO TO LAUNCH A Complete Guide to Building a Profitable SaaS Business with Zero Investment,AnandKumarYadav,2026,2026,,,1,Anand Yadav is an Artificial Intelligence Researcher,
artificial intelligence,/works/OL45267578W,"Predicting Injustice; Bias, Ethics, and the Machinery of Predictive Policing",Dr. Lincoln Eden,2026,2026,Predictive policing; Algorithmic bias; Artificial intelligence ethics; Criminal justice technology; Police accountability; Machine learning fairness; Surveillance; Computer science; Public policy; Criminology; Sociotechnical systems; Algorithmic governance; AI governance; Civil rights and technology,eng,1,Cipher Press,United States; Los Angeles; Chicago; Plainfield New Jersey; Pasco County Florida
artificial intelligence,/works/OL45329810W,Demianism,Barabeke,2026,2026,cultural movement; new religion; cultural revolution; philosophy; manifesto; civilization; new commandments; metaphysics; simulation; futurist; artificial intelligence; computational universe; universal basic income; demianism; cultural renewal,eng,1,Independently published,
artificial intelligence,/works/OL45317994W,Minds We Create,Erik Bernath,2026,2026,Artificial intelligence; AI safety; AI alignment; AI governance; Machine learning; Technology and society,,1,Bernáth Erik Nándor,
artificial intelligence,/works/OL44660267W,Platform Decay,Martha Wells,2026,2026,The Murderbot Diaries; science fiction; Robots; Artificial intelligence,eng,3,Tor Books; Recorded Books,
artificial intelligence,/works/OL45347220W,Material and Artificial Intelligence in Architecture,,2026,2026,,,1,Unknown,
artificial intelligence,/works/OL43208132W,L' Intelligence Artificiel dans les Organisations,,2025,2025,IA; Inteligencia artificial; Managment; Organisation; Efficacité organisationnelle; Organisations internationales; Organisation du travail; inteligence services; Emotional inteligence; Artificial intelligence; Intelligence artificielle; Articificial satellites in telecommunication,fre,1,Loïc M. S. DELEKE,
artificial intelligence,/works/OL43247142W,L’intelligence humaine aux commandes de l’intelligence artificielle,Loïc M. S. DELEKE,2025,2025,inteligence; IA; Innovation; Lighting; Computers / Artificial Intelligence,,1,Loïc M. S. DELEKE,
artificial intelligence,/works/OL43199700W,The Magic of Potentiality,Denys Spirin,2025,2025,Philosophy and religion; Philosophy; Occultism,,1,Ridero,
artificial intelligence,/works/OL43200306W,Ontology of Differentiation,Denys Spirin,2025,2025,Philosophy; Ontology; Artificial intelligence; Epistemology; Differentiation; Potentiality,eng,1,Ridero,
artificial intelligence,/works/OL42410162W,Artificial Intelligence-Driven Models for Environm Ental Management,Kulkarni,2025,2025,,eng,1,"Wiley & Sons, Limited, John",
artificial intelligence,/works/OL42410616W,AI Valley,Gary Rivlin,2025,2025,,eng,2,HarperCollins Publishers,
artificial intelligence,/works/OL42410695W,Artificial Intelligence and IoT for Cyber Security Solutions in Smart Cities,Smita Sharma; Manikandan Thirumalaisamy; Balamurugan Balusamy; Naveen Chilamkurti,2025,2025,,eng,1,Taylor & Francis Group,
artificial intelligence,/works/OL42410896W,Practical Applications of Machine Learning and Artificial Intelligence in the Food Industry,Amit K. Jaiswal; Abhishek Kaushik; Swarna Jaiswal,2025,2025,,eng,1,Elsevier Science & Technology,
artificial intelligence,/works/OL42411055W,Technology-Mediated Language Teaching,Javier Muñoz-Basols; Mara Fuertes Gutiérrez; Luis Cerezo,2025,2025,,eng,3,Multilingual Matters,
artificial intelligence,/works/OL42419232W,International Conference on Agriculture-Centric Computation,Dhananjay Singh; Neeraj Goel; Matias Miguez; Mukesh Kumar Saini,2025,2025,Computer networks; Artificial intelligence; Data mining; Image processing,eng,1,Springer,
artificial intelligence,/works/OL42394028W,AI for Nonprofits,Darian Rodriguez Heyman; Cheryl Contee,2025,2025,,eng,2,"Wiley & Sons, Limited, John; Wiley & Sons, Incorporated, John",
artificial intelligence,/works/OL42394401W,Artificial Intelligence,Alan Dix,2025,2025,,eng,4,Taylor & Francis Group,
artificial intelligence,/works/OL42394492W,Pattern Recognition and Artificial Intelligence,Christian Wallraven; Cheng-Lin Liu; Arun Ross,2025,2025,Image processing,eng,2,Springer,
artificial intelligence,/works/OL42415701W,Applications of Artificial Intelligence in Removal of Emerging Contaminants,Mika Sillanpää; Riti Thapar Kapoor,2025,2025,,eng,1,Elsevier,
artificial intelligence,/works/OL42424552W,Generative Artificial Intelligence,George Anthony Kulz,2025,2025,,eng,3,"The Child's World, Inc",
artificial intelligence,/works/OL42450484W,Artificial Intelligence and Entrepreneurship,Frank M. Fossen; Trevor McLemore; Alina Sorgner,2025,2025,,eng,1,Now Publishers,
artificial intelligence,/works/OL42450858W,Artificial vs. Intelligence,Jack Thomas Taylor,2025,2025,,eng,1,Silvana,
artificial intelligence,/works/OL42408653W,Driving Green Transportation System Through Artificial Intelligence and Automation,Alex Khang,2025,2025,,eng,1,Springer,
artificial intelligence,/works/OL42408828W,Multilingual Artificial Intelligence,Peng Wang; Pete Smith,2025,2025,,eng,2,"Routledge, Chapman & Hall, Incorporated",
artificial intelligence,/works/OL42408918W,"Distributed Computing and Artificial Intelligence, Special Sessions II, 21st International Conference",Goreti Marreiros; Laura Grande; Juan Pedro Llerena; Luís Conceição; Hoon Ko,2025,2025,,eng,1,Springer,
artificial intelligence,/works/OL42409083W,Big Data and Artificial Intelligence,Anirban Dasgupta; Rage Uday Kiran; Radwa El Shawi; Satish Narayana Srirama; Mainak Adhikari,2025,2025,,eng,1,Springer,
artificial intelligence,/works/OL42409104W,"Distributed Computing and Artificial Intelligence, 21st International Conference",Ravikumar Chinthaginjala; Pawel Sitek; Nasro Min-Allah; Kenji Matsui; Sascha Ossowski,2025,2025,,eng,1,Springer,
artificial intelligence,/works/OL42409117W,Artificial Intelligence and Complex Dynamical Systems,Giorgos Tsironis,2025,2025,,eng,1,Springer,
artificial intelligence,/works/OL42443327W,Unleashing AI,Milan Frankl,2025,2025,Business,eng,2,"Business Expert Press; Wiley & Sons, Limited, John",
artificial intelligence,/works/OL42443764W,Infinite Education,Dan Fitzpatrick,2025,2025,Education; Business,eng,1,TeacherGoals Publishing,
artificial intelligence,/works/OL42434115W,Future Healthcare 2050,Barry Chaiken,2025,2025,Technology; Health,eng,3,Poplar Tree Media,
artificial intelligence,/works/OL42434365W,Earthbound,Dennis Meredith,2025,2025,Science; Technology,eng,2,"Glyphus, LLC",
artificial intelligence,/works/OL42546927W,Artificial Intelligence for Energy Systems,Elissaios Sarmas; Vangelis Marinakis; Haris Doukas,2025,2025,,eng,1,Springer,
artificial intelligence,/works/OL42547037W,Generative Artificial Intelligence Applications,Hasan Tinmaz; Seda Gökçe Turan,2025,2025,,eng,3,"Lang GmbH, Internationaler Verlag der Wissenschaften, Peter",
artificial intelligence,/works/OL42547209W,Design Optimization Using Artificial Intelligence,Satya Ranjan Mishra; Apul Narayan Dev; Alok Kumar Pandey; Mukesh Kumar Awasthi,2025,2025,,eng,1,CRC Press LLC,
artificial intelligence,/works/OL42554855W,AI for Beginners,Mark Anthony Germanos,2025,2025,Business; Technology,eng,1,Cyber Safety Net,
artificial intelligence,/works/OL42564750W,Prompt Engineering : Best of the New Techniques,Lance Eliot,2025,2025,Computer software; Business,eng,1,LBE Press Publishing,
artificial intelligence,/works/OL42541146W,Statistical Relational Artificial Intelligence in Photovoltaic Power Uncertainty Analysis,Xueqian Fu,2025,2025,,eng,1,Elsevier,
artificial intelligence,/works/OL42541181W,Optical Coherence Tomography-Based Artificial Intelligence in Ophthalmology,Kai Jin; Andrzej Grzybowski,2025,2025,,eng,1,Elsevier Science & Technology,
artificial intelligence,/works/OL42541235W,Artificial Intelligence-Based Smart Healthcare Systems,Kashif Naseer Qureshi; Thomas Newe; Gwanggil Jeon,2025,2025,,eng,1,Elsevier Science & Technology,
artificial intelligence,/works/OL42541396W,Cutting-Edge Artificial Intelligence Advances and Implications in Real-World Applications,Walayat Hussain; Luis Martínez López; Manoj Sahni; Zhen-Song Chen; Jun Liu,2025,2025,,eng,2,CRC Press LLC,
artificial intelligence,/works/OL42541460W,Power System Protection with Artificial Intelligence Applications,Jigneshkumar P. Desai; Ankurkumar Pramodbhai Desai; Paresh Kumar Nayak,2025,2025,,eng,1,CRC Press LLC,
artificial intelligence,/works/OL42541474W,Artificial Intelligence and Bioethics,Luiz Vianna Sobrinho; Leandro Modolo Paschoalotte; Maíra Araújo de Santana; Giselle Machado M Moreno; Fabiano Tonaco Borges,2025,2025,Biology,eng,1,CRC Press LLC,
artificial intelligence,/works/OL42541570W,Next Generation Artificial Intelligence Driven Smart and Renewable Energy,Provas Kumar Roy; Sunanda Hazra; Chandan Paul,2025,2025,,eng,1,CRC Press LLC,
